# model: HHJ_2 
Mass Radius Pressure 
1.32542219e-01 2.03370000e+01 9.67754717e-13
1.38644745e-01 1.93630000e+01 9.93533683e-13
1.44716869e-01 1.85700000e+01 9.52165278e-13
1.50751593e-01 1.79120000e+01 9.66380151e-13
1.56744120e-01 1.73600000e+01 9.31137572e-13
1.62691201e-01 1.68890000e+01 9.58951156e-13
1.68590705e-01 1.64850000e+01 9.45246179e-13
1.74441302e-01 1.61340000e+01 9.46650798e-13
1.80242254e-01 1.58270000e+01 9.73934311e-13
1.85993242e-01 1.55570000e+01 9.59207975e-13
1.91694274e-01 1.53180000e+01 8.93996100e-13
1.97345593e-01 1.51040000e+01 9.51979018e-13
2.02947602e-01 1.49120000e+01 9.91116936e-13
2.08500835e-01 1.47400000e+01 9.86804026e-13
2.14005913e-01 1.45850000e+01 9.00110061e-13
2.19463532e-01 1.44430000e+01 9.83096881e-13
2.24874414e-01 1.43150000e+01 9.10891088e-13
2.30239320e-01 1.41980000e+01 8.54199549e-13
2.35559026e-01 1.40900000e+01 8.67548114e-13
2.40834322e-01 1.39910000e+01 8.66416258e-13
2.46065982e-01 1.39000000e+01 8.55496325e-13
2.51254792e-01 1.38160000e+01 8.47767585e-13
2.56401522e-01 1.37380000e+01 8.70096407e-13
2.61506940e-01 1.36650000e+01 9.64674689e-13
2.66571789e-01 1.35980000e+01 9.80903359e-13
2.71596807e-01 1.35360000e+01 8.75922528e-13
2.76582709e-01 1.34780000e+01 8.85055711e-13
2.81530200e-01 1.34230000e+01 9.92663660e-13
2.86439967e-01 1.33730000e+01 8.46295177e-13
2.91312677e-01 1.33250000e+01 8.37162642e-13
2.96148983e-01 1.32800000e+01 9.22741087e-13
3.00949521e-01 1.32380000e+01 9.86135370e-13
3.05714905e-01 1.31990000e+01 8.86905052e-13
3.10445742e-01 1.31620000e+01 8.29505740e-13
3.15142617e-01 1.31270000e+01 8.93569086e-13
3.19806097e-01 1.30940000e+01 8.50702880e-13
3.64719231e-01 1.28470000e+01 8.77221227e-13
4.06818915e-01 1.26980000e+01 9.01873514e-13
4.46477876e-01 1.26040000e+01 7.85895873e-13
4.83990132e-01 1.25430000e+01 6.61988908e-13
5.19592739e-01 1.25020000e+01 6.93355067e-13
5.53480538e-01 1.24740000e+01 9.03008666e-13
5.85816343e-01 1.24560000e+01 9.64937929e-13
6.16738126e-01 1.24450000e+01 6.31826728e-13
6.46364223e-01 1.24370000e+01 9.36874309e-13
6.74797172e-01 1.24330000e+01 7.54212481e-13
7.02126646e-01 1.24310000e+01 6.34985093e-13
7.28431657e-01 1.24310000e+01 3.93277132e-13
7.53782334e-01 1.24310000e+01 7.56296016e-13
7.78241280e-01 1.24320000e+01 8.04154773e-13
8.01864706e-01 1.24340000e+01 6.45060184e-13
8.24703323e-01 1.24360000e+01 9.66297703e-13
8.46803086e-01 1.24390000e+01 3.38412602e-13
8.68205812e-01 1.24410000e+01 9.25461870e-13
8.88949690e-01 1.24440000e+01 3.03040946e-13
9.09069713e-01 1.24460000e+01 5.37032173e-13
9.28598050e-01 1.24480000e+01 5.40772661e-13
9.47564353e-01 1.24500000e+01 5.01254823e-13
9.65996026e-01 1.24520000e+01 4.90104312e-13
9.83918470e-01 1.24530000e+01 9.34011172e-13
1.00135527e+00 1.24550000e+01 2.76679352e-13
1.01832837e+00 1.24560000e+01 3.49107574e-13
1.03485824e+00 1.24570000e+01 7.88533737e-13
1.05096401e+00 1.24580000e+01 2.59309831e-13
1.06666357e+00 1.24580000e+01 9.86432138e-13
1.08197371e+00 1.24590000e+01 4.67483126e-13
1.09691019e+00 1.24590000e+01 5.17072354e-13
1.11148782e+00 1.24590000e+01 5.02961900e-13
1.12572056e+00 1.24590000e+01 4.19032307e-13
1.13962157e+00 1.24590000e+01 1.42937408e-13
1.15320327e+00 1.24580000e+01 2.40538900e-13
1.16647741e+00 1.24570000e+01 3.38508305e-13
1.17945510e+00 1.24560000e+01 8.41486947e-13
1.19214687e+00 1.24550000e+01 5.86678941e-13
1.20456272e+00 1.24540000e+01 1.69427242e-13
1.21671213e+00 1.24520000e+01 8.10079477e-13
1.22860411e+00 1.24510000e+01 4.95829196e-13
1.24024722e+00 1.24490000e+01 6.94429851e-13
1.25164964e+00 1.24470000e+01 8.29409404e-13
1.26281913e+00 1.24460000e+01 3.14642152e-13
1.27376311e+00 1.24440000e+01 3.10261062e-13
1.28448859e+00 1.24420000e+01 2.24323488e-13
1.29500246e+00 1.24390000e+01 6.07619831e-13
1.30531113e+00 1.24370000e+01 3.88962720e-13
1.31542075e+00 1.24350000e+01 1.60718542e-13
1.32533724e+00 1.24320000e+01 3.38852817e-13
1.33506628e+00 1.24290000e+01 4.75116499e-13
1.34461328e+00 1.24270000e+01 1.48536241e-13
1.35398345e+00 1.24240000e+01 1.63008260e-13
1.36318177e+00 1.24210000e+01 1.90528726e-13
1.37221305e+00 1.24180000e+01 1.69528754e-13
1.38108189e+00 1.24150000e+01 1.41350292e-13
1.38979271e+00 1.24120000e+01 9.29127611e-14
1.39834977e+00 1.24090000e+01 3.97763692e-14
1.40675716e+00 1.24050000e+01 2.68677867e-13
1.41501882e+00 1.24020000e+01 1.19590027e-13
1.42313854e+00 1.23990000e+01 1.02554398e-13
1.43111997e+00 1.23950000e+01 1.44357946e-13
1.43896665e+00 1.23920000e+01 9.90388916e-14
1.44668197e+00 1.23880000e+01 1.08700942e-13
1.45426921e+00 1.23840000e+01 7.57405520e-13
1.46173152e+00 1.23810000e+01 2.57150326e-14
1.46907196e+00 1.23770000e+01 8.19102216e-14
1.47629349e+00 1.23730000e+01 6.27243193e-13
1.48339894e+00 1.23700000e+01 3.02633201e-14
1.49039108e+00 1.23660000e+01 4.71581312e-14
1.49727257e+00 1.23620000e+01 8.02399541e-15
1.50404599e+00 1.23580000e+01 2.12027285e-14
1.51071382e+00 1.23540000e+01 3.03795268e-14
1.51727849e+00 1.23500000e+01 3.22261003e-14
1.52374232e+00 1.23460000e+01 2.69902653e-14
1.53010759e+00 1.23420000e+01 1.56230155e-14
1.53637648e+00 1.23380000e+01 2.10448049e-15
1.54255112e+00 1.23337500e+01 2.67717642e-14
1.54863357e+00 1.23290000e+01 9.10932792e-13
1.55462583e+00 1.23257500e+01 1.87688678e-14
1.56052983e+00 1.23210000e+01 8.72904802e-13
1.56634747e+00 1.23170000e+01 6.71706046e-13
1.57208055e+00 1.23130000e+01 1.91602200e-13
1.57773087e+00 1.23080000e+01 9.49566071e-13
1.58330013e+00 1.23040000e+01 9.54336390e-13
1.58879000e+00 1.23000000e+01 6.56056975e-13
1.59420213e+00 1.22960000e+01 1.41853314e-13
1.59953807e+00 1.22910000e+01 7.80973357e-13
1.60479938e+00 1.22870000e+01 7.10851317e-13
1.60998753e+00 1.22830000e+01 1.43246442e-13
1.61510398e+00 1.22780000e+01 7.73755147e-13
1.62015015e+00 1.22740000e+01 6.45694484e-13
1.62512741e+00 1.22700000e+01 9.12959533e-14
1.63003709e+00 1.22650000e+01 6.27198746e-13
1.63488050e+00 1.22610000e+01 4.84588234e-13
1.63965891e+00 1.22560000e+01 9.01256518e-13
1.64437354e+00 1.22520000e+01 3.97190028e-13
1.64902561e+00 1.22480000e+01 6.40649685e-14
1.65361627e+00 1.22430000e+01 5.70988304e-13
1.65814668e+00 1.22390000e+01 3.66028278e-13
1.66261795e+00 1.22340000e+01 6.95425399e-13
1.66703116e+00 1.22300000e+01 2.40121969e-13
1.67138737e+00 1.22259277e+01 4.08329662e-15
1.67568761e+00 1.22210000e+01 3.30689407e-13
1.67993288e+00 1.22170000e+01 5.48003849e-15
1.68412417e+00 1.22120000e+01 3.76522838e-13
1.68826244e+00 1.22080000e+01 1.91968222e-13
